Original name,Typology of Original name,Translation (Meaning),Year of original name,Pre-Soviet name changes,Translation,Year of Pre-Soviet name,Year of Renaming in soviet time,Soviet Name,Typology of Soviet name,Translation,Year of Name Restoration,Current Name,Typology of Current name,Last Proposal,Year ,Location
Lukovitskaya,Geographical,"Onion Field Street (from ""lukovitka"" – small onion field)",,,,,1918,Profsoyuznaya,Communist ideals,Trade Union,,Profsoyuznaya,Communist ideals,,,"58.602102, 49.674138"
Bogoslovskaya,Religious,"Theological Street (from ""bogoslov"" – theologian)",,,,,1918,Sovetskaya,Communist ideals,Soviet,,Sovetskaya,Communist ideals,,,"58.602102, 49.674139"
Morozovskaya,Tsar,After Morozov noble family.,1625,,,,1923,Rozy Lyuksemburg,Soviet leaders,Rosa Luxemburg,,Rozy Lyuksemburg,Soviet leaders,Morozovskaya,2025,"58.602102, 49.674140"
Ostrozhnaya,Other,Prison Street,,Zaostrozhnaya,Beyond Prison,,1924,MOPRa,Communist ideals,International Red Aid,,MOPRa,Communist ideals,Ostrozhnaya (Prison),2025,"58.602102, 49.674141"
Razderikhinskaya,Geographical,Abstract historico-social meaning,,,,,1923,Truda,Communist ideals,Labor,,Truda,Communist ideals,Razderikhinskaya (Abstract historico-social meaning),2025,"58.602102, 49.674142"
Pyatnitskaya,Religious,Friday Street ,1615,,,,1923,Stepana Khalturina,Soviet leaders,Stepan Khalturin,2012,Pyatnitskaya,Religious,,,"58.602102, 49.674143"
Preobrazhenskaya,Religious,Transfiguration Street ,,,,,1918,Engelsa,Soviet leaders,Engels,2012,Preobrazhenskaya,Religious,,,"58.602102, 49.674144"
Moskovskaya,Geographical,Moscow Street,,,,,1918,Kommuny,Communist ideals,Commune,1993,Moskovskaya,Geographical,,,"58.602102, 49.674145"
Teatralnaya Ploshchad,Other ,Theater Square,,Khlebnaya ,Bread's street,,1918,"Skver Marksa, then Ploshchad Konstitutsii",Communist ideals,"Marx Square, then Constitution Square",1989,Teatralnaya Ploshchad,Other,,,"58.602102, 49.674146"
Spasskaya,Religious,Savior Street ,,,,,1918,Drylevskogo,Soviet leaders,Dryalevsky,2012,Spasskaya,Religious,,,"58.602102, 49.674147"
Kopanskaya,Religious,Ditch Street ,,,,,1923,Gertsena,Other,Herzen,,Gertsena,Other,,,"58.602102, 49.674148"
Stefanovskaya,Tsar,St. Stephen's Street,,,,,1923,Molodoy Gvardii,Communist ideals,Young Guard,,Molodoy Gvardii,Communist ideals,,,"58.602102, 49.674149"
Vladimirskaya Square,Geographical,St. Vladimir Square or Prince Vladimir Square,,,,,1918,Bortsov za svobodu,Communist ideals,Freedom Fighters,,Bortsov za svobodu,Communist ideals,,,"58.602102, 49.674150"
Butyrskaya,Geographical,Butyrki Street (from district name in Moscow),,,,,1918,Maklina,Soviet leaders,Maklin,,Maklina,Soviet leaders,,,"58.602102, 49.674151"
Orlovskaya,Geographical,city Oreyl,1784,,,,1923,Kommunisticheskaya,Communist ideals,Communist,1993,Orlovskaya,Geographical,,,"58.602102, 49.674152"
Semyonovskaya,Tsar,After a noble family,1812,,,,1923,Vorovskogo,Soviet leaders,Vorovsky,,Vorovskogo,Soviet leaders,,,"58.602102, 49.674153"
